original_index,context_recall,context_precision
0,1.0,0.0
1,0.0,0.0
2,1.0,0.8333333332916666
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.3333333333
7,0.0,0.9999999999
8,1.0,0.49999999995
9,1.0,0.49999999995
10,0.0,0.0
11,1.0,0.3333333333
12,1.0,0.49999999995
13,1.0,0.49999999995
14,0.0,0.0
15,0.0,0.0
16,0.0,0.3333333333
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.9999999999
21,0.0,0.0
22,1.0,0.0
23,1.0,0.0
24,0.0,0.49999999995
25,1.0,0.9999999999
26,0.0,0.49999999995
27,1.0,0.49999999995
28,1.0,0.0
29,1.0,0.0
30,0.0,0.0
31,0.0,0.9999999999
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.9999999999
36,0.0,0.0
37,0.5,0.0
38,1.0,0.3333333333
39,1.0,0.0
40,0.0,0.0
41,0.0,0.0
42,1.0,0.99999999995
43,0.0,0.0
44,1.0,0.0
45,0.0,0.0
46,0.0,0.0
47,1.0,0.0
48,1.0,0.3333333333
49,0.0,0.0
50,1.0,0.9999999999
51,1.0,0.0
52,0.0,0.9999999999
53,0.0,0.0
54,0.0,0.49999999995
55,1.0,0.9999999999
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,1.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.99999999995
63,1.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.49999999995
67,0.0,0.0
68,1.0,0.9999999999
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,1.0,0.0
73,1.0,0.99999999995
74,0.0,0.3333333333
75,0.0,0.0
76,0.0,0.0
77,1.0,0.3333333333
78,0.0,0.0
79,0.0,0.0
80,1.0,0.9999999999
81,0.0,0.9999999999
82,1.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.9999999999
87,1.0,0.0
88,1.0,0.0
89,0.0,0.0
90,1.0,0.3333333333
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.8333333332916666
96,1.0,0.0
97,1.0,0.0
98,0.0,0.0
99,1.0,0.0
100,1.0,0.0
101,0.0,0.0
102,0.0,0.49999999995
103,1.0,0.3333333333
104,0.0,0.0
105,1.0,0.0
106,0.0,0.9999999999
107,0.0,0.0
108,1.0,0.0
109,1.0,0.9999999999
110,1.0,0.0
111,1.0,0.3333333333
112,1.0,0.0
113,1.0,0.0
114,1.0,0.0
115,0.0,0.0
116,1.0,0.0
117,1.0,0.9999999999
118,0.0,0.0
119,1.0,0.9999999999
120,0.0,0.0
121,1.0,0.9999999999
122,0.0,0.9999999999
123,0.0,0.0
124,1.0,0.9999999999666667
125,0.0,0.49999999995
126,0.0,0.9999999999
127,1.0,0.0
128,1.0,0.0
129,1.0,0.0
130,1.0,0.49999999995
131,0.0,0.9999999999
132,0.0,0.0
133,0.0,0.99999999995
134,1.0,0.8333333332916666
135,1.0,0.0
136,0.0,0.49999999995
137,1.0,0.9999999999
138,1.0,0.5833333333041666
139,0.0,0.0
140,0.0,0.0
141,1.0,0.3333333333
142,1.0,0.0
143,1.0,0.9999999999666667
144,1.0,0.0
145,0.0,0.0
146,1.0,0.49999999995
147,0.0,0.9999999999
148,1.0,0.49999999995
149,1.0,0.5833333333041666
150,0.0,0.0
151,0.0,0.0
152,1.0,0.0
153,0.0,0.0
154,1.0,0.0
155,1.0,0.0
156,1.0,0.8333333332916666
157,1.0,0.3333333333
158,0.0,0.0
159,1.0,0.9999999999
160,0.0,0.0
161,1.0,0.9999999999
162,0.0,0.0
163,1.0,0.0
164,1.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.49999999995
169,1.0,0.99999999995
170,0.0,0.0
171,1.0,0.0
172,0.0,0.49999999995
173,1.0,0.0
174,1.0,0.8333333332916666
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,1.0,0.3333333333
179,0.0,0.0
180,0.0,0.0
181,1.0,0.0
182,1.0,0.99999999995
183,0.0,0.0
184,1.0,0.0
185,1.0,0.0
186,0.5,0.49999999995
187,0.0,0.0
188,0.0,0.0
189,1.0,0.3333333333
190,0.0,0.0
191,0.0,0.0
192,1.0,0.0
193,1.0,0.99999999995
194,0.0,0.0
195,1.0,0.0
196,0.0,0.0
197,1.0,0.3333333333
198,0.0,0.0
199,0.0,0.0
200,1.0,0.0
201,1.0,0.99999999995
202,0.0,0.99999999995
203,0.0,0.0
204,1.0,0.0
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,1.0,0.0
210,0.0,0.9999999999
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,1.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,1.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
